====================================================================================================
TASK EXECUTION TIMELINE
====================================================================================================
Range    Start        End          Duration     Task                          
68       @54606       @54606       0            T21                           
69       @54606       @54624       18           T30                           
70       @54626       @54657       31           T21                           
71       @54657       @54657       0            T30                           
72       @54658       @54658       0            T21                           
73       @54658       @54676       18           T30                           
74       @54678       @54709       31           T21                           
75       @54709       @54709       0            T30                           
76       @54710       @54710       0            T21                           
77       @54710       @54728       18           T30                           
78       @54730       @54761       31           T21                           
79       @54761       @54761       0            T30                           
80       @54762       @54762       0            T21                           
81       @54762       @54780       18           T30                           
82       @54782       @54813       31           T21                           
83       @54813       @54813       0            T30                           
84       @54814       @54814       0            T21                           
85       @54814       @54832       18           T30                           
86       @54834       @54865       31           T21                           
87       @54865       @54865       0            T30                           
88       @54866       @54866       0            T21                           
89       @54866       @54884       18           T30                           
90       @54886       @54917       31           T21                           
91       @54917       @54917       0            T30                           
92       @54918       @54918       0            T21                           
93       @54918       @54936       18           T30                           
94       @54938       @54969       31           T21                           
95       @54969       @54969       0            T30                           
96       @54970       @54970       0            T21                           
97       @54970       @54988       18           T30                           
98       @54990       @55021       31           T21                           
99       @55021       @55021       0            T30                           
100      @55022       @55022       0            T21                           
101      @55022       @55040       18           T30                           
102      @55042       @55073       31           T21                           
103      @55073       @55073       0            T30                           
104      @55074       @55074       0            T21                           
105      @55074       @55092       18           T30                           
106      @55094       @55125       31           T21                           
107      @55125       @55125       0            T30                           
108      @55126       @55126       0            T21                           
109      @55126       @55144       18           T30                           
110      @55146       @55177       31           T21                           
111      @55177       @55177       0            T30                           
112      @55178       @55178       0            T21                           
113      @55178       @55196       18           T30                           
114      @55198       @55229       31           T21                           
115      @55229       @55229       0            T30                           
116      @55230       @55230       0            T21                           
117      @55230       @55248       18           T30                           
118      @55250       @55281       31           T21                           
119      @55281       @55281       0            T30                           
120      @55282       @55282       0            T21                           
121      @55282       @55300       18           T30                           
122      @55302       @55333       31           T21                           
123      @55333       @55333       0            T30                           
124      @55334       @55334       0            T21                           
125      @55334       @55352       18           T30                           
126      @55354       @55385       31           T21                           
127      @55385       @55385       0            T30                           
128      @55386       @55386       0            T21                           
129      @55386       @55404       18           T30                           
130      @55406       @55437       31           T21                           
131      @55437       @55437       0            T30                           
132      @55438       @55438       0            T21                           
133      @55438       @55456       18           T30                           
134      @55458       @55489       31           T21                           
135      @55489       @55489       0            T30                           
136      @55490       @55490       0            T21                           
137      @55490       @55508       18           T30                           
138      @55510       @55541       31           T21                           
139      @55541       @55541       0            T30                           
140      @55542       @55542       0            T21                           
141      @55542       @55560       18           T30                           
142      @55562       @55593       31           T21                           
143      @55593       @55593       0            T30                           
144      @55594       @55594       0            T21                           
145      @55594       @55612       18           T30                           
146      @55614       @55645       31           T21                           
147      @55645       @55645       0            T30                           
148      @55646       @55646       0            T21                           
149      @55646       @55664       18           T30                           
150      @55666       @55697       31           T21                           
151      @55697       @55697       0            T30                           
152      @55698       @55698       0            T21                           
153      @55698       @55716       18           T30                           
154      @55718       @55749       31           T21                           
155      @55749       @55749       0            T30                           
156      @55750       @55750       0            T21                           
157      @55750       @55768       18           T30                           
158      @55770       @55801       31           T21                           
159      @55801       @55801       0            T30                           
160      @55802       @55802       0            T21                           
161      @55802       @55820       18           T30                           
162      @55822       @55853       31           T21                           
163      @55853       @55853       0            T30                           
164      @55854       @55854       0            T21                           
165      @55854       @55872       18           T30                           
166      @55874       @55905       31           T21                           
167      @55905       @55905       0            T30                           
168      @55906       @55906       0            T21                           
169      @55906       @55924       18           T30                           
170      @55926       @55957       31           T21                           
171      @55957       @55957       0            T30                           
172      @55958       @55958       0            T21                           
173      @55958       @55976       18           T30                           
174      @55978       @56009       31           T21                           
175      @56009       @56009       0            T30                           
176      @56010       @56010       0            T21                           
177      @56010       @56028       18           T30                           
178      @56030       @56061       31           T21                           
179      @56061       @56061       0            T30                           
180      @56062       @56062       0            T21                           
181      @56062       @56080       18           T30                           
182      @56082       @56113       31           T21                           
183      @56113       @56113       0            T30                           
184      @56114       @56114       0            T21                           
185      @56114       @56132       18           T30                           
186      @56134       @56165       31           T21                           
187      @56165       @56165       0            T30                           
188      @56166       @56166       0            T21                           
189      @56166       @56184       18           T30                           
190      @56186       @56217       31           T21                           
191      @56217       @56217       0            T30                           
192      @56218       @56218       0            T21                           
193      @56218       @56236       18           T30                           
194      @56238       @56269       31           T21                           
195      @56269       @56269       0            T30                           
196      @56270       @56270       0            T21                           
197      @56270       @56288       18           T30                           
198      @56290       @56321       31           T21                           
199      @56321       @56321       0            T30                           
200      @56322       @56322       0            T21                           
201      @56322       @56340       18           T30                           
202      @56342       @56373       31           T21                           
203      @56373       @56373       0            T30                           
204      @56374       @56374       0            T21                           
205      @56374       @56392       18           T30                           
206      @56394       @56425       31           T21                           
207      @56425       @56425       0            T30                           
208      @56426       @56426       0            T21                           
209      @56426       @56444       18           T30                           
210      @56446       @56477       31           T21                           
211      @56477       @56477       0            T30                           
212      @56478       @56478       0            T21                           
213      @56478       @56496       18           T30                           
214      @56498       @56529       31           T21                           
215      @56529       @56529       0            T30                           
216      @56530       @56530       0            T21                           
217      @56530       @56548       18           T30                           
218      @56550       @56581       31           T21                           
219      @56581       @56581       0            T30                           
220      @56582       @56582       0            T21                           
221      @56582       @56600       18           T30                           
222      @56602       @56633       31           T21                           
223      @56633       @56633       0            T30                           
224      @56634       @56634       0            T21                           
225      @56634       @56652       18           T30                           
226      @56654       @56685       31           T21                           
227      @56685       @56685       0            T30                           
228      @56686       @56686       0            T21                           
229      @56686       @56704       18           T30                           
230      @56706       @56737       31           T21                           
231      @56737       @56737       0            T30                           
232      @56738       @56738       0            T21                           
233      @56738       @56756       18           T30                           
234      @56758       @56789       31           T21                           
235      @56789       @56789       0            T30                           
236      @56790       @56790       0            T21                           
237      @56790       @56808       18           T30                           
238      @56810       @56841       31           T21                           
239      @56841       @56841       0            T30                           
240      @56842       @56842       0            T21                           
241      @56842       @56860       18           T30                           
242      @56862       @56893       31           T21                           
243      @56893       @56893       0            T30                           
244      @56894       @56894       0            T21                           
245      @56894       @56912       18           T30                           
246      @56914       @56945       31           T21                           
247      @56945       @56945       0            T30                           
248      @56946       @56946       0            T21                           
249      @56946       @56964       18           T30                           
250      @56966       @56997       31           T21                           
251      @56997       @56997       0            T30                           
252      @56998       @56998       0            T21                           
253      @56998       @57016       18           T30                           
254      @57018       @57049       31           T21                           
255      @57049       @57049       0            T30                           
256      @57050       @57050       0            T21                           
257      @57050       @57068       18           T30                           
258      @57070       @57101       31           T21                           
259      @57101       @57101       0            T30                           
260      @57102       @57102       0            T21                           
261      @57102       @57120       18           T30                           
262      @57122       @57153       31           T21                           
263      @57153       @57153       0            T30                           
264      @57154       @57154       0            T21                           
265      @57154       @57172       18           T30                           
266      @57174       @57205       31           T21                           
267      @57205       @57205       0            T30                           
268      @57206       @57206       0            T21                           
269      @57206       @57224       18           T30                           
270      @57226       @57257       31           T21                           
271      @57257       @57257       0            T30                           
272      @57258       @57258       0            T21                           
273      @57258       @57276       18           T30                           
274      @57278       @57309       31           T21                           
275      @57309       @57309       0            T30                           
276      @57310       @57310       0            T21                           
277      @57310       @57328       18           T30                           
278      @57330       @57361       31           T21                           
279      @57361       @57361       0            T30                           
280      @57362       @57362       0            T21                           
281      @57362       @57380       18           T30                           
282      @57382       @57413       31           T21                           
283      @57413       @57413       0            T30                           
284      @57414       @57414       0            T21                           
285      @57414       @57432       18           T30                           
286      @57434       @57465       31           T21                           
287      @57465       @57465       0            T30                           
288      @57466       @57466       0            T21                           
289      @57466       @57484       18           T30                           
290      @57486       @57517       31           T21                           
291      @57517       @57517       0            T30                           
292      @57518       @57518       0            T21                           
293      @57518       @57536       18           T30                           
294      @57538       @57569       31           T21                           
295      @57569       @57569       0            T30                           
296      @57570       @57570       0            T21                           
297      @57570       @57588       18           T30                           
298      @57590       @57621       31           T21                           
299      @57621       @57621       0            T30                           
300      @57622       @57622       0            T21                           
301      @57622       @57640       18           T30                           
302      @57642       @57673       31           T21                           
303      @57673       @57673       0            T30                           
304      @57674       @57674       0            T21                           
305      @57674       @57692       18           T30                           
306      @57694       @57725       31           T21                           
307      @57725       @57725       0            T30                           
308      @57726       @57726       0            T21                           
309      @57726       @57744       18           T30                           
310      @57746       @57777       31           T21                           
311      @57777       @57777       0            T30                           
312      @57778       @57778       0            T21                           
313      @57778       @57796       18           T30                           
314      @57798       @57829       31           T21                           
315      @57829       @57829       0            T30                           
316      @57830       @57830       0            T21                           
317      @57830       @57848       18           T30                           
318      @57850       @57881       31           T21                           
319      @57881       @57881       0            T30                           
320      @57882       @57882       0            T21                           
321      @57882       @57900       18           T30                           
322      @57902       @57933       31           T21                           
323      @57933       @57933       0            T30                           
324      @57934       @57934       0            T21                           
325      @57934       @57952       18           T30                           
326      @57954       @57985       31           T21                           
327      @57985       @57985       0            T30                           
328      @57986       @57986       0            T21                           
329      @57986       @58004       18           T30                           
330      @58006       @58037       31           T21                           
331      @58037       @58037       0            T30                           
332      @58038       @58038       0            T21                           
333      @58038       @58056       18           T30                           
334      @58058       @58089       31           T21                           
335      @58089       @58089       0            T30                           
336      @58090       @58090       0            T21                           
337      @58090       @58108       18           T30                           
338      @58110       @58141       31           T21                           
339      @58141       @58141       0            T30                           
340      @58142       @58142       0            T21                           
341      @58142       @58160       18           T30                           
342      @58162       @58193       31           T21                           
343      @58193       @58193       0            T30                           
344      @58194       @58194       0            T21                           
345      @58194       @58212       18           T30                           
346      @58214       @58245       31           T21                           
347      @58245       @58245       0            T30                           
348      @58246       @58246       0            T21                           
349      @58246       @58264       18           T30                           
350      @58266       @58297       31           T21                           
351      @58297       @58297       0            T30                           
352      @58298       @58298       0            T21                           
353      @58298       @58316       18           T30                           
354      @58318       @58349       31           T21                           
355      @58349       @58349       0            T30                           
356      @58350       @58350       0            T21                           
357      @58350       @58368       18           T30                           
358      @58370       @58401       31           T21                           
359      @58401       @58401       0            T30                           
360      @58402       @58402       0            T21                           
361      @58402       @58420       18           T30                           
362      @58422       @58453       31           T21                           
363      @58453       @58453       0            T30                           
364      @58454       @58454       0            T21                           
365      @58454       @58472       18           T30                           
366      @58474       @58505       31           T21                           
367      @58505       @58505       0            T30                           
368      @58506       @58506       0            T21                           
369      @58506       @58524       18           T30                           
370      @58526       @58557       31           T21                           
371      @58557       @58557       0            T30                           
372      @58558       @58558       0            T21                           
373      @58558       @58576       18           T30                           
374      @58578       @58609       31           T21                           
375      @58609       @58609       0            T30                           
376      @58610       @58610       0            T21                           
377      @58610       @58628       18           T30                           
378      @58630       @58661       31           T21                           
379      @58661       @58661       0            T30                           
380      @58662       @58662       0            T21                           
381      @58662       @58680       18           T30                           
382      @58682       @58713       31           T21                           
383      @58713       @58713       0            T30                           
384      @58714       @58714       0            T21                           
385      @58714       @58732       18           T30                           
386      @58734       @58765       31           T21                           
387      @58765       @58765       0            T30                           
388      @58766       @58766       0            T21                           
389      @58766       @58784       18           T30                           
390      @58786       @58817       31           T21                           
391      @58817       @58817       0            T30                           
392      @58818       @58818       0            T21                           
393      @58818       @58836       18           T30                           
394      @58838       @58869       31           T21                           
395      @58869       @58869       0            T30                           
396      @58870       @58870       0            T21                           
397      @58870       @58888       18           T30                           
398      @58890       @58921       31           T21                           
399      @58921       @58921       0            T30                           
400      @58922       @58922       0            T21                           
401      @58922       @58940       18           T30                           
402      @58942       @58973       31           T21                           
403      @58973       @58973       0            T30                           
404      @58974       @58974       0            T21                           
405      @58974       @58992       18           T30                           
406      @58994       @59025       31           T21                           
407      @59025       @59025       0            T30                           
408      @59026       @59026       0            T21                           
409      @59026       @59044       18           T30                           
410      @59046       @59077       31           T21                           
411      @59077       @59077       0            T30                           
412      @59078       @59078       0            T21                           
413      @59078       @59096       18           T30                           
414      @59098       @59129       31           T21                           
415      @59129       @59129       0            T30                           
416      @59130       @59130       0            T21                           
417      @59130       @59148       18           T30                           
418      @59150       @59181       31           T21                           
419      @59181       @59181       0            T30                           
420      @59182       @59182       0            T21                           
421      @59182       @59200       18           T30                           
422      @59202       @59233       31           T21                           
423      @59233       @59233       0            T30                           
424      @59234       @59234       0            T21                           
425      @59234       @59252       18           T30                           
426      @59254       @59285       31           T21                           
427      @59285       @59285       0            T30                           
428      @59286       @59286       0            T21                           
429      @59286       @59304       18           T30                           
430      @59306       @59337       31           T21                           
431      @59337       @59337       0            T30                           
432      @59338       @59338       0            T21                           
433      @59338       @59356       18           T30                           
434      @59358       @59389       31           T21                           
435      @59389       @59389       0            T30                           
436      @59390       @59390       0            T21                           
437      @59390       @59408       18           T30                           
438      @59410       @59441       31           T21                           
439      @59441       @59441       0            T30                           
440      @59442       @59442       0            T21                           
441      @59442       @59460       18           T30                           
442      @59462       @59493       31           T21                           
443      @59493       @59493       0            T30                           
444      @59494       @59494       0            T21                           
445      @59494       @59512       18           T30                           
446      @59514       @59545       31           T21                           
447      @59545       @59545       0            T30                           
448      @59546       @59546       0            T21                           
449      @59546       @59564       18           T30                           
450      @59566       @59597       31           T21                           
451      @59597       @59597       0            T30                           
452      @59598       @59598       0            T21                           
453      @59598       @59616       18           T30                           
454      @59618       @59649       31           T21                           
455      @59649       @59649       0            T30                           
456      @59650       @59650       0            T21                           
457      @59650       @59668       18           T30                           
458      @59670       @59701       31           T21                           
459      @59701       @59701       0            T30                           
460      @59702       @59702       0            T21                           
461      @59702       @59720       18           T30                           
462      @59722       @59753       31           T21                           
463      @59753       @59753       0            T30                           
464      @59754       @59754       0            T21                           
465      @59754       @59772       18           T30                           
466      @59774       @59805       31           T21                           
467      @59805       @59805       0            T30                           
468      @59806       @59806       0            T21                           
469      @59806       @59824       18           T30                           
470      @59826       @59857       31           T21                           
471      @59857       @59857       0            T30                           
472      @59858       @59858       0            T21                           
473      @59858       @59876       18           T30                           
474      @59878       @59909       31           T21                           
475      @59909       @59909       0            T30                           
476      @59910       @59910       0            T21                           
477      @59910       @59928       18           T30                           
478      @59930       @59961       31           T21                           
479      @59961       @59961       0            T30                           
480      @59962       @59962       0            T21                           
481      @59962       @59980       18           T30                           
482      @59982       @60013       31           T21                           
483      @60013       @60013       0            T30                           
484      @60014       @60014       0            T21                           
485      @60014       @60032       18           T30                           
486      @60034       @60065       31           T21                           
487      @60065       @60065       0            T30                           
488      @60066       @60066       0            T21                           
489      @60066       @60084       18           T30                           
490      @60086       @60117       31           T21                           
491      @60117       @60117       0            T30                           
492      @60118       @60118       0            T21                           
493      @60118       @60136       18           T30                           
494      @60138       @60169       31           T21                           
495      @60169       @60169       0            T30                           
496      @60170       @60170       0            T21                           
497      @60170       @60188       18           T30                           
498      @60190       @60221       31           T21                           
499      @60221       @60221       0            T30                           
500      @60222       @60222       0            T21                           
501      @60222       @60240       18           T30                           
502      @60242       @60273       31           T21                           
503      @60273       @60273       0            T30                           
504      @60274       @60274       0            T21                           
505      @60274       @60292       18           T30                           
506      @60294       @60325       31           T21                           
507      @60325       @60325       0            T30                           
508      @60326       @60326       0            T21                           
509      @60326       @60344       18           T30                           
510      @60346       @60377       31           T21                           
511      @60377       @60377       0            T30                           
512      @60378       @60378       0            T21                           
513      @60378       @60396       18           T30                           
514      @60398       @60429       31           T21                           
515      @60429       @60429       0            T30                           
516      @60430       @60430       0            T21                           
517      @60430       @60448       18           T30                           
518      @60450       @60481       31           T21                           
519      @60481       @60481       0            T30                           
520      @60482       @60482       0            T21                           
521      @60482       @60500       18           T30                           
522      @60502       @60533       31           T21                           
523      @60533       @60533       0            T30                           
524      @60534       @60534       0            T21                           
525      @60534       @60552       18           T30                           
526      @60554       @60585       31           T21                           
527      @60585       @60585       0            T30                           
528      @60586       @60586       0            T21                           
529      @60586       @60604       18           T30                           
530      @60606       @60637       31           T21                           
531      @60637       @60637       0            T30                           
532      @60638       @60638       0            T21                           
533      @60638       @60656       18           T30                           
534      @60658       @60689       31           T21                           
535      @60689       @60689       0            T30                           
536      @60690       @60690       0            T21                           
537      @60690       @60708       18           T30                           
538      @60710       @60741       31           T21                           
539      @60741       @60741       0            T30                           
540      @60742       @60742       0            T21                           
541      @60742       @60760       18           T30                           
542      @60762       @60793       31           T21                           
543      @60793       @60793       0            T30                           
544      @60794       @60794       0            T21                           
545      @60794       @60812       18           T30                           
546      @60814       @60845       31           T21                           
547      @60845       @60845       0            T30                           
548      @60846       @60846       0            T21                           
549      @60846       @60864       18           T30                           
550      @60866       @60897       31           T21                           
551      @60897       @60897       0            T30                           
552      @60898       @60898       0            T21                           
553      @60898       @60916       18           T30                           
554      @60918       @60949       31           T21                           
555      @60949       @60949       0            T30                           
556      @60950       @60950       0            T21                           
557      @60950       @60968       18           T30                           
558      @60970       @61001       31           T21                           
559      @61001       @61001       0            T30                           
560      @61002       @61002       0            T21                           
561      @61002       @61020       18           T30                           
562      @61022       @61053       31           T21                           
563      @61053       @61053       0            T30                           
564      @61054       @61054       0            T21                           
565      @61054       @61072       18           T30                           
566      @61074       @61105       31           T21                           
567      @61105       @61105       0            T30                           
568      @61106       @61106       0            T21                           
569      @61106       @61124       18           T30                           
570      @61126       @61157       31           T21                           
571      @61157       @61157       0            T30                           
572      @61158       @61158       0            T21                           
573      @61158       @61176       18           T30                           
574      @61178       @61209       31           T21                           
575      @61209       @61209       0            T30                           
576      @61210       @61210       0            T21                           
577      @61210       @61228       18           T30                           
578      @61230       @61261       31           T21                           
579      @61261       @61261       0            T30                           
580      @61262       @61262       0            T21                           
581      @61262       @61280       18           T30                           
582      @61282       @61313       31           T21                           
583      @61313       @61313       0            T30                           
584      @61314       @61314       0            T21                           
585      @61314       @61332       18           T30                           
586      @61334       @61365       31           T21                           
587      @61365       @61365       0            T30                           
588      @61366       @61366       0            T21                           
589      @61366       @61384       18           T30                           
590      @61386       @61417       31           T21                           
591      @61417       @61417       0            T30                           
592      @61418       @61418       0            T21                           
593      @61418       @61436       18           T30                           
594      @61438       @61469       31           T21                           
595      @61469       @61469       0            T30                           
596      @61470       @61470       0            T21                           
597      @61470       @61488       18           T30                           
598      @61490       @61521       31           T21                           
599      @61521       @61521       0            T30                           
600      @61522       @61522       0            T21                           
601      @61522       @61540       18           T30                           
602      @61542       @61573       31           T21                           
603      @61573       @61573       0            T30                           
604      @61574       @61574       0            T21                           
605      @61574       @61592       18           T30                           
606      @61594       @61625       31           T21                           
607      @61625       @61625       0            T30                           
608      @61626       @61626       0            T21                           
609      @61626       @61644       18           T30                           
610      @61646       @61677       31           T21                           
611      @61677       @61677       0            T30                           
612      @61678       @61678       0            T21                           
613      @61678       @61696       18           T30                           
614      @61698       @61729       31           T21                           
615      @61729       @61729       0            T30                           
616      @61730       @61730       0            T21                           
617      @61730       @61748       18           T30                           
618      @61750       @61781       31           T21                           
619      @61781       @61781       0            T30                           
620      @61782       @61782       0            T21                           
621      @61782       @61800       18           T30                           
622      @61802       @61833       31           T21                           
623      @61833       @61833       0            T30                           
624      @61834       @61834       0            T21                           
625      @61834       @61852       18           T30                           
626      @61854       @61885       31           T21                           
627      @61885       @61885       0            T30                           
628      @61886       @61886       0            T21                           
629      @61886       @61904       18           T30                           
630      @61906       @61937       31           T21                           
631      @61937       @61937       0            T30                           
632      @61938       @61938       0            T21                           
633      @61938       @61956       18           T30                           
634      @61958       @61989       31           T21                           
635      @61989       @61989       0            T30                           
636      @61990       @61990       0            T21                           
637      @61990       @62008       18           T30                           
638      @62010       @62041       31           T21                           
639      @62041       @62041       0            T30                           
640      @62042       @62042       0            T21                           
641      @62042       @62060       18           T30                           
642      @62062       @62093       31           T21                           
643      @62093       @62093       0            T30                           
644      @62094       @62094       0            T21                           
645      @62094       @62112       18           T30                           
646      @62114       @62145       31           T21                           
647      @62145       @62145       0            T30                           
648      @62146       @62146       0            T21                           
649      @62146       @62164       18           T30                           
650      @62166       @62197       31           T21                           
651      @62197       @62197       0            T30                           
652      @62198       @62198       0            T21                           
653      @62198       @62216       18           T30                           
654      @62218       @62249       31           T21                           
655      @62249       @62249       0            T30                           
656      @62250       @62250       0            T21                           
657      @62250       @62268       18           T30                           
658      @62270       @62301       31           T21                           
659      @62301       @62301       0            T30                           
660      @62302       @62302       0            T21                           
661      @62302       @62320       18           T30                           
662      @62322       @62353       31           T21                           
663      @62353       @62353       0            T30                           
664      @62354       @62354       0            T21                           
665      @62354       @62372       18           T30                           
666      @62374       @62405       31           T21                           
667      @62405       @62405       0            T30                           
668      @62406       @62406       0            T21                           
669      @62406       @62424       18           T30                           
670      @62426       @62457       31           T21                           
671      @62457       @62457       0            T30                           
672      @62458       @62458       0            T21                           
673      @62458       @62476       18           T30                           
674      @62478       @62509       31           T21                           
675      @62509       @62509       0            T30                           
676      @62510       @62510       0            T21                           
677      @62510       @62528       18           T30                           
678      @62530       @62561       31           T21                           
679      @62561       @62561       0            T30                           
680      @62562       @62562       0            T21                           
681      @62562       @62580       18           T30                           
682      @62582       @62613       31           T21                           
683      @62613       @62613       0            T30                           
684      @62614       @62614       0            T21                           
685      @62614       @62632       18           T30                           
686      @62634       @62665       31           T21                           
687      @62665       @62665       0            T30                           
688      @62666       @62666       0            T21                           
689      @62666       @62684       18           T30                           
690      @62686       @62717       31           T21                           
691      @62717       @62717       0            T30                           
692      @62718       @62718       0            T21                           
693      @62718       @62736       18           T30                           
694      @62738       @62769       31           T21                           
695      @62769       @62769       0            T30                           
696      @62770       @62770       0            T21                           
697      @62770       @62788       18           T30                           
698      @62790       @62821       31           T21                           
699      @62821       @62821       0            T30                           
700      @62822       @62822       0            T21                           
701      @62822       @62840       18           T30                           
702      @62842       @62873       31           T21                           
703      @62873       @62873       0            T30                           
704      @62874       @62874       0            T21                           
705      @62874       @62892       18           T30                           
706      @62894       @62925       31           T21                           
707      @62925       @62925       0            T30                           
708      @62926       @62926       0            T21                           
709      @62926       @62944       18           T30                           
710      @62946       @62977       31           T21                           
711      @62977       @62977       0            T30                           
712      @62978       @62978       0            T21                           
713      @62978       @62996       18           T30                           
714      @62998       @63029       31           T21                           
715      @63029       @63029       0            T30                           
716      @63030       @63030       0            T21                           
717      @63030       @63048       18           T30                           
718      @63050       @63081       31           T21                           
719      @63081       @63081       0            T30                           
720      @63082       @63082       0            T21                           
721      @63082       @63100       18           T30                           
722      @63102       @63133       31           T21                           
723      @63133       @63133       0            T30                           
724      @63134       @63134       0            T21                           
725      @63134       @63152       18           T30                           
726      @63154       @63185       31           T21                           
727      @63185       @63185       0            T30                           
728      @63186       @63186       0            T21                           
729      @63186       @63204       18           T30                           
730      @63206       @63237       31           T21                           
731      @63237       @63237       0            T30                           
732      @63238       @63238       0            T21                           
733      @63238       @63256       18           T30                           
734      @63258       @63289       31           T21                           
735      @63289       @63289       0            T30                           
736      @63290       @63290       0            T21                           
737      @63290       @63308       18           T30                           
738      @63310       @63341       31           T21                           
739      @63341       @63341       0            T30                           
740      @63342       @63342       0            T21                           
741      @63342       @63360       18           T30                           
742      @63362       @63393       31           T21                           
743      @63393       @63393       0            T30                           
744      @63394       @63394       0            T21                           
745      @63394       @63412       18           T30                           
746      @63414       @63445       31           T21                           
747      @63445       @63445       0            T30                           
748      @63446       @63446       0            T21                           
749      @63446       @63464       18           T30                           
750      @63466       @63497       31           T21                           
751      @63497       @63497       0            T30                           
752      @63498       @63498       0            T21                           
753      @63498       @63516       18           T30                           
754      @63518       @63549       31           T21                           
755      @63549       @63549       0            T30                           
756      @63550       @63550       0            T21                           
757      @63550       @63568       18           T30                           
758      @63570       @63601       31           T21                           
759      @63601       @63601       0            T30                           
760      @63602       @63602       0            T21                           
761      @63602       @63620       18           T30                           
762      @63622       @63653       31           T21                           
763      @63653       @63653       0            T30                           
764      @63654       @63654       0            T21                           
765      @63654       @63672       18           T30                           
766      @63674       @63705       31           T21                           
767      @63705       @63705       0            T30                           
768      @63706       @63706       0            T21                           
769      @63706       @63724       18           T30                           
770      @63726       @63757       31           T21                           
771      @63757       @63757       0            T30                           
772      @63758       @63758       0            T21                           
773      @63758       @63776       18           T30                           
774      @63778       @63809       31           T21                           
775      @63809       @63809       0            T30                           
776      @63810       @63810       0            T21                           
777      @63810       @63828       18           T30                           
778      @63830       @63861       31           T21                           
779      @63861       @63861       0            T30                           
780      @63862       @63862       0            T21                           
781      @63862       @63880       18           T30                           
782      @63882       @63913       31           T21                           
783      @63913       @63913       0            T30                           
784      @63914       @63914       0            T21                           
785      @63914       @63932       18           T30                           
786      @63934       @63965       31           T21                           
787      @63965       @63965       0            T30                           
788      @63966       @63966       0            T21                           
789      @63966       @63984       18           T30                           
790      @63986       @64017       31           T21                           
791      @64017       @64017       0            T30                           
792      @64018       @64018       0            T21                           
793      @64018       @64036       18           T30                           
794      @64038       @64069       31           T21                           
795      @64069       @64069       0            T30                           
796      @64070       @64070       0            T21                           
797      @64070       @64088       18           T30                           
798      @64090       @64115       25           T21                           
799      @64119       @64137       18           T29                           
800      @64138       @64140       2            T28                           

====================================================================================================
TASK EXECUTION SUMMARY
====================================================================================================
Task                           Total Cycles    Occurrences     Avg Duration   
----------------------------------------------------------------------------------------------------
T11 (main/control)             45783           1               45783.00       
T21                            6101            393             15.52          
T30                            3528            392             9.00           
T22 (fabric async)             3060            4               765.00         
T29                            50              5               10.00          
T28                            2               1               2.00           
T27                            0               4               0.00           
----------------------------------------------------------------------------------------------------
Total execution time:          64013 cycles
Number of task switches:       800
